[2023-10-21 12:03:51,955] INFO [Broker id=1] Leader __consumer_offsets-15 with topic id Some(5iPnpvHiSA23HcMscWCQ_Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-21 12:03:51,958] INFO [Broker id=1] Leader comunicacion-0 with topic id Some(jQJLTa60SkGjSW9zTIRs-A) starts at leader epoch 0 from offset 15 with partition epoch 0, high watermark 15, ISR [1], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-21 12:03:51,959] INFO [Broker id=1] Leader __consumer_offsets-30 with topic id Some(5iPnpvHiSA23HcMscWCQ_Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-21 12:03:51,962] INFO [Broker id=1] Leader __consumer_offsets-0 with topic id Some(5iPnpvHiSA23HcMscWCQ_Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-21 12:03:51,966] INFO [Broker id=1] Leader __consumer_offsets-35 with topic id Some(5iPnpvHiSA23HcMscWCQ_Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-21 12:03:51,969] INFO [Broker id=1] Leader __consumer_offsets-5 with topic id Some(5iPnpvHiSA23HcMscWCQ_Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-21 12:03:51,971] INFO [Broker id=1] Leader __consumer_offsets-20 with topic id Some(5iPnpvHiSA23HcMscWCQ_Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-21 12:03:51,974] INFO [Broker id=1] Leader __consumer_offsets-27 with topic id Some(5iPnpvHiSA23HcMscWCQ_Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-21 12:03:51,976] INFO [Broker id=1] Leader __consumer_offsets-42 with topic id Some(5iPnpvHiSA23HcMscWCQ_Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-21 12:03:51,983] INFO [Broker id=1] Leader __consumer_offsets-12 with topic id Some(5iPnpvHiSA23HcMscWCQ_Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-21 12:03:51,986] INFO [Broker id=1] Leader comunicacion-1 with topic id Some(jQJLTa60SkGjSW9zTIRs-A) starts at leader epoch 0 from offset 3 with partition epoch 0, high watermark 3, ISR [1], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-21 12:03:51,986] INFO [Broker id=1] Leader __consumer_offsets-21 with topic id Some(5iPnpvHiSA23HcMscWCQ_Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-21 12:03:51,989] INFO [Broker id=1] Leader __consumer_offsets-36 with topic id Some(5iPnpvHiSA23HcMscWCQ_Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-21 12:03:51,991] INFO [Broker id=1] Leader __consumer_offsets-6 with topic id Some(5iPnpvHiSA23HcMscWCQ_Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-21 12:03:51,995] INFO [Broker id=1] Leader __consumer_offsets-43 with topic id Some(5iPnpvHiSA23HcMscWCQ_Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-21 12:03:51,999] INFO [Broker id=1] Leader __consumer_offsets-13 with topic id Some(5iPnpvHiSA23HcMscWCQ_Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-21 12:03:52,003] INFO [Broker id=1] Leader __consumer_offsets-28 with topic id Some(5iPnpvHiSA23HcMscWCQ_Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-21 12:03:52,006] INFO [Broker id=1] Leader comunicacion-2 with topic id Some(jQJLTa60SkGjSW9zTIRs-A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-21 12:03:52,035] INFO [Broker id=1] Finished LeaderAndIsr request in 264ms correlationId 1 from controller 1 for 54 partitions (state.change.logger)
[2023-10-21 12:03:52,054] INFO [Broker id=1] Add 54 partitions and deleted 0 partitions from metadata cache in response to UpdateMetadata request sent by controller 1 epoch 3 with correlation id 2 (state.change.logger)
[2023-10-21 12:05:49,482] INFO [Controller id=1 epoch=3] Sending UpdateMetadata request to brokers HashSet() for 0 partitions (state.change.logger)
